time_us,record_type,payload_length,value_count,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7
4364897,56,32,8,314735,925649,1449179,1647416,1732423,1989041,1552303,1729495
4366793,56,32,8,314967,925465,1448760,1646868,1731885,1988544,1552096,1729028
4368696,56,32,8,315281,925305,1448393,1646338,1731416,1988039,1551823,1728610
4370602,56,32,8,315544,925102,1447999,1645852,1730977,1987359,1551647,1728102
4372493,56,32,8,315866,924920,1447591,1645322,1730403,1986868,1551363,1727588
4374391,56,32,8,316144,924742,1447301,1644836,1729732,1986280,1551107,1726982
4376287,56,32,8,316385,924559,1446893,1644297,1729339,1985806,1550902,1726628
4378187,56,32,8,316694,924389,1446521,1643807,1728779,1985283,1550681,1726181
4380090,56,32,8,317066,924255,1446185,1643311,1728306,1984774,1550536,1725724
4381993,56,32,8,317385,924042,1445754,1642860,1727804,1984241,1550254,1725225
4383902,56,32,8,317561,923865,1445331,1642341,1727330,1983630,1550064,1724701
4385801,56,32,8,317907,923634,1444887,1641734,1726719,1983038,1549748,1724200
4387700,56,32,8,318173,923449,1444474,1641124,1726156,1982459,1549532,1723753
4389615,56,32,8,318427,923212,1444101,1640662,1725712,1981861,1549282,1723245
4391506,56,32,8,318738,923041,1443700,1640125,1725099,1981331,1548965,1722669
4393408,56,32,8,318983,922893,1443349,1639642,1724654,1980818,1548796,1722257
4395311,56,32,8,319300,922777,1443032,1639147,1724183,1980304,1548589,1721860
4397208,56,32,8,319600,922530,1442616,1638622,1723650,1979757,1548369,1721432
4399116,56,32,8,319885,922340,1442257,1638195,1723137,1979221,1548199,1720961
4401018,56,32,8,320227,922094,1441875,1637660,1722630,1978662,1547958,1720543
4402920,56,32,8,320518,921937,1441436,1637149,1722149,1978104,1547717,1719993
4404829,56,32,8,320771,921810,1441022,1636534,1721548,1977428,1547452,1719389
4406729,56,32,8,321082,921580,1440580,1635933,1720969,1976969,1547100,1718840
4408634,56,32,8,321343,921375,1440176,1635388,1720317,1976232,1546838,1718326
4410525,56,32,8,321647,921149,1439769,1634870,1719761,1975666,1546508,1717781
4412430,56,32,8,321893,920949,1439332,1634293,1719285,1975120,1546281,1717272
4414325,56,32,8,322132,920751,1438909,1633748,1718735,1974539,1546047,1716806
4416221,56,32,8,322455,920549,1438478,1633243,1718172,1973872,1545801,1716326
4418124,56,32,8,322756,920370,1438076,1632699,1717595,1973283,1545466,1715781
4420017,56,32,8,323002,920098,1437677,1632115,1717033,1972695,1545148,1715220
4421913,56,32,8,323262,919932,1437242,1631537,1716497,1972105,1544924,1714743
4423807,56,32,8,323540,919715,1436818,1631003,1715876,1971460,1544602,1714148
4425702,56,32,8,323832,919528,1436410,1630360,1715263,1970859,1544318,1713634
4427609,56,32,8,324083,919298,1435974,1629867,1714764,1970273,1544071,1713128
4429498,56,32,8,324376,919090,1435519,1629343,1714211,1969693,1543861,1712719
4431392,56,32,8,324670,918931,1435195,1628845,1713718,1969135,1543612,1712284
4433288,56,32,8,324984,918766,1434816,1628341,1713265,1968629,1543408,1711878
4435182,56,32,8,325281,918592,1434412,1627857,1712761,1968110,1543198,1711370
4437082,56,32,8,325546,918390,1434058,1627382,1712217,1967557,1542965,1710913
